# kv (rpm / V), max current (A), max power (W), weight (g), max lipo cells, notes
172, 120, 5300, 1080, 10, RotoMax 50cc
192, 80, 2750, 858, 12, SK3
168, 70, 2400, 840, 12, SK3
149, 70, 2250, 840, 12, SK3
228, 75, 2775, 715, 10, RotoMax 1.4
231, 80, 2960, 849, 10, RotoMax 1.6
245, 70, 2700, 718, 10, SK3
290, 78, 2700, 632, 10, G160 
213, 65, 2550, 706, 10, SK3
190, 65, 2450, 697, 10, SK3
100, 57, 2800, 674, 12, Multistar
280, 65, 1924, 622, 8, RotoMax 1.2
245, 60, 2220, 649, 10, G160
260, 70, 2360, 489, 10, SK3
236, 60, 1850, 530, 10, SK3
295, 55, 1797, 485, 9, G110
260, 80, 2960, 614, 10, Suppo
#195, 80, 1500, 500, 6, KEDA
#280, 60, 1510, 369, 10, SK3

